0.000000,-1.#IND00,0.000000
0.100000,-0.031848,-1.#IND00
0.200000,-0.015926,-1.#IND00
0.300000,0.871285,-1.#IND00
0.400000,0.007963,-1.#IND00
0.500000,-0.006371,-1.#IND00
0.600000,-0.863359,-1.#IND00
0.700000,0.437979,-1.#IND00
0.800000,0.999992,-1.#IND00
0.900000,0.640072,-1.#IND00
1.000000,-0.003185,-1.#IND00
1.100000,-0.543075,-1.#IND00
1.200000,-0.867350,-1.#IND00
1.300000,-0.993001,-1.#IND00
1.400000,-0.974419,-1.#IND00
1.500000,-0.864962,-1.#IND00
1.600000,-0.705698,-1.#IND00
1.700000,-0.524838,-1.#IND00
1.800000,-0.340357,-1.#IND00
1.900000,-0.162941,-1.#IND00
2.000000,0.001593,-1.#IND00
2.100000,0.150542,-1.#IND00
2.200000,0.283121,-1.#IND00
2.300000,0.399671,-1.#IND00
2.400000,0.501149,-1.#IND00
2.500000,0.588816,-1.#IND00
2.600000,0.664039,-1.#IND00
2.700000,0.728183,-1.#IND00
2.800000,0.782540,-1.#IND00
2.900000,0.828305,-1.#IND00
3.000000,0.866556,-1.#IND00
3.100000,0.898257,-1.#IND00
3.200000,0.924260,-1.#IND00
3.300000,0.945316,-1.#IND00
3.400000,0.962082,-1.#IND00
3.500000,0.975130,-1.#IND00
3.600000,0.984961,-1.#IND00
3.700000,0.992009,-1.#IND00
3.800000,0.996653,-1.#IND00
3.900000,0.999222,-1.#IND00
4.000000,1.000000,-1.#IND00
4.100000,0.999236,-1.#IND00
4.200000,0.997147,-1.#IND00
4.300000,0.993920,-1.#IND00
4.400000,0.989718,-1.#IND00
4.500000,0.984685,-1.#IND00
4.600000,0.978943,-1.#IND00
4.700000,0.972601,-1.#IND00
4.800000,0.965754,-1.#IND00
4.900000,0.958483,-1.#IND00
5.000000,0.950859,-1.#IND00
5.100000,0.942947,-1.#IND00
5.200000,0.934799,-1.#IND00
5.300000,0.926464,-1.#IND00
5.400000,0.917982,-1.#IND00
5.500000,0.909391,-1.#IND00
5.600000,0.900722,-1.#IND00
5.700000,0.892002,-1.#IND00
5.800000,0.883255,-1.#IND00
5.900000,0.874501,-1.#IND00
6.000000,0.865760,-1.#IND00
6.100000,0.857046,-1.#IND00
6.200000,0.848372,-1.#IND00
6.300000,0.839752,-1.#IND00
6.400000,0.831193,-1.#IND00
6.500000,0.822705,-1.#IND00
6.600000,0.814296,-1.#IND00
6.700000,0.805971,-1.#IND00
6.800000,0.797735,-1.#IND00
6.900000,0.789593,-1.#IND00
7.000000,0.781548,-1.#IND00
7.100000,0.773603,-1.#IND00
7.200000,0.765760,-1.#IND00
7.300000,0.758021,-1.#IND00
7.400000,0.750388,-1.#IND00
7.500000,0.742861,-1.#IND00
7.600000,0.735440,-1.#IND00
7.700000,0.728126,-1.#IND00
7.800000,0.720919,-1.#IND00
7.900000,0.713819,-1.#IND00
8.000000,0.706825,-1.#IND00
8.100000,0.699937,-1.#IND00
8.200000,0.693153,-1.#IND00
8.300000,0.686472,-1.#IND00
8.400000,0.679895,-1.#IND00
8.500000,0.673419,-1.#IND00
8.600000,0.667043,-1.#IND00
8.700000,0.660766,-1.#IND00
8.800000,0.654587,-1.#IND00
8.900000,0.648504,-1.#IND00
9.000000,0.642516,-1.#IND00
9.100000,0.636622,-1.#IND00
9.200000,0.630819,-1.#IND00
9.300000,0.625107,-1.#IND00
9.400000,0.619484,-1.#IND00
9.500000,0.613948,-1.#IND00
9.600000,0.608498,-1.#IND00
9.700000,0.603133,-1.#IND00
9.800000,0.597850,-1.#IND00
9.900000,0.592649,-1.#IND00
10.000000,0.587528,-1.#IND00
